Ville	Chomage	ChomageJeunes	ChomageLong	EvoluEmploiCree	Activite	EmploiFeminin	EmploiCommune	DefaillEntreprise	SalaireAnnuel	Criminalite	EvolutionCrimes	SecuriteRoutiere	Inondations	TerrainsPollues	UsinesRisques	MortaliteInfantile	MortaliteCancerPoumon	MortaliteAlcool	DecesInfarctus	TauxSuicide	MortaliteGlobale	TailleClassesPrimaires	Retard6eme	Retard3eme	RetardTerminale	MetreCarreAncien	TaxeHabitation	FoncierBati	MetreCubeEau	Proprietaires	LogtSup4pieces	LogtInsalubre	LogtVacant	LogtConstruction	Mer	Ski	Soleil	Pluie	Temperature	MarcheAPied	Musees	Cinema	MonumHistoriques	PretLivres	RestaurDistingues	Presse	Etudiants	ImpotRevenu	ImpotFortune	Imposables	EvolDemographique	Vieillissement	AttiranceGlobale	AttiranceActifs
LeMans	0.151	0.145	0.580	0.040	0.460	0.460	0.660	0.150	18562	84.500	0.083	4.900	10	6	2	5.000	34.700	43.600	59.400	25.600	743.700	21.600	0.043	0.084	0.152	952	17.540	21.060	2.340	0.440	0.510	0.011	0.060	0.008	1	1	1825	113.900	11.100	0.090	3	1.700	24	3.500	0.000	16.700	0.070	1261	0.006	55	0.004	0.400	0.270	0.320
Lille	0.200	0.139	0.590	0.040	0.430	0.490	0.430	0.280	19015	114.900	-0.057	2.900	9	17	0	6.600	53.200	92.800	96.900	26.000	1078.800	23.700	0.058	0.100	0.235	1119	33.550	23.560	2.960	0.250	0.340	0.040	0.140	0.009	2	1	1600	121.500	9.900	0.130	4	4.400	28	4.000	1.000	18.800	0.220	1263	0.007	48	0.073	0.230	0.420	0.450
Limoges	0.135	0.115	0.550	0.040	0.450	0.480	0.730	0.220	17819	60.800	0.305	4.800	6	4	0	5.200	38.800	36.000	67.300	26.300	780.800	22.600	0.068	0.141	0.248	860	17.200	16.440	1.930	0.370	0.420	0.018	0.070	0.005	1	1	1974	135.400	10.900	0.110	2	4.300	17	4.900	1.000	21.000	0.130	1331	0.006	54	0.004	0.500	0.290	0.300
Lyon	0.125	0.091	0.510	0.040	0.470	0.510	0.540	0.170	21521	105.000	-0.048	3.200	14	18	2	3.400	41.900	27.500	67.700	21.360	748.300	25.200	0.042	0.099	0.213	1132	19.090	15.220	2.740	0.320	0.320	0.020	0.110	0.004	1	2	1976	107.500	11.400	0.130	10	4.300	55	5.000	8.000	19.700	0.140	2036	0.014	61	0.072	0.380	0.380	0.430
Marseille	0.232	0.149	0.590	0.030	0.420	0.470	0.670	0.180	18821	111.500	-0.005	6.000	17	28	2	4.000	43.800	29.200	60.700	21.360	807.900	24.500	0.061	0.134	0.248	1090	21.930	18.470	2.760	0.440	0.380	0.019	0.080	0.005	3	1	2836	56.700	14.800	0.100	10	4.200	31	1.600	3.000	14.900	0.050	1302	0.006	47	-0.003	0.400	0.170	0.200
Melun	0.133	0.137	0.480	0.030	0.510	0.510	0.390	0.210	18362	85.400	-0.127	1.400	6	3	0	5.600	47.300	55.400	83.100	22.900	851.500	21.900	0.048	0.074	0.252	1524	17.250	23.240	3.590	0.240	0.380	0.008	0.100	0.006	1	1	1798	116.700	10.600	0.130	2	8.800	1	3.300	0.000	17.800	0.100	1263	0.007	56	0.011	0.240	0.440	0.510
Metz	0.143	0.186	0.500	0.060	0.460	0.480	0.560	0.200	18854	103.400	0.045	2.700	12	7	1	4.000	50.600	40.800	79.600	15.400	878.000	22.300	0.035	0.094	0.198	1054	17.060	15.620	2.520	0.290	0.470	0.006	0.080	0.005	1	2	1638	123.600	9.900	0.140	2	5.700	45	5.900	1.000	19.900	0.170	1396	0.006	52	0.035	0.240	0.350	0.380
Montauban	0.144	0.135	0.550	0.040	0.450	0.470	0.700	0.140	17369	95.900	0.095	5.400	6	2	0	6.600	33.500	21.100	55.500	28.700	731.600	23.400	0.049	0.095	0.184	915	13.050	28.850	2.860	0.510	0.600	0.009	0.070	0.013	1	1	2029	105.000	13.700	0.100	2	3.100	36	4.000	0.000	23.700	0.020	1202	0.004	50	0.012	0.410	0.270	0.310
Montlucon	0.187	0.146	0.580	0.020	0.410	0.450	0.600	0.090	16745	58.000	0.008	2.200	4	6	0	3.000	43.600	45.700	71.600	22.000	871.800	20.700	0.041	0.093	0.190	570	17.010	27.550	2.770	0.430	0.460	0.019	0.090	0.004	1	2	1880	118.300	10.500	0.110	1	2.500	4	5.000	0.000	21.700	0.040	959	0.005	50	-0.065	0.660	0.260	0.310
Montpellier	0.224	0.132	0.570	0.040	0.420	0.490	0.600	0.140	18299	127.500	0.012	2.000	5	1	0	4.600	34.700	25.200	75.800	18.000	725.600	23.400	0.059	0.128	0.202	980	20.760	29.060	2.060	0.310	0.360	0.006	0.100	0.018	2	1	2687	59.500	14.200	0.120	7	7.200	22	2.700	1.000	17.100	0.260	1309	0.006	47	0.084	0.360	0.410	0.410
